Acres2009,XericRatio,ufa_predv,medi08to14,mean08to14,medi96to02,mean96to02,ddnmn96t02,ddnmd96t02,ddnmn08t14,ddnmd08t14,sasmd08t14,sasmn08t14,ufamd08t14,ufamx08t14,sasddnmd16,sasddnmx16,ufaddnmd16,ufaddnmx16,ufamd97t98,ufamn97t98,ufapotmd15,ufapotmn15,ufmndiff15,ufmeddif15,ufmddf9798,ufmndf9798,ufmddf1402,ufmddf1597,whasorno16
24.15395684,0.152544,37.94259644,34.74596405,34.33489609,30.65538406,30.57942581,-7.363171577,-7.287211418,-3.60770154,-3.196634293,0.301396996,0.808965981,1.515964031,2.786472082,0.247575,0.264461994,1.264395952,1.414106965,31.29386902,31.54529762,35.96858978,35.98450089,-1.958096504,-1.974006653,-6.648726463,-6.39729929,4.090577126,4.67471981,1
21.2849946,0.311698,35.9442215,31.78078079,31.33128166,27.62861633,27.53023148,-8.413990021,-8.315606117,-4.612939835,-4.163439751,1.319283009,2.69128108,2.134885073,3.458283901,0.927349985,1.285153985,1.443827033,2.308046103,28.3375206,28.62835503,33.0737381,33.21611786,-2.728103399,-2.870485306,-7.606701851,-7.31586647,4.152166367,4.736216545,0
9.713024736,0,70.0375824,55.59171677,55.55690765,49.87540054,49.11827087,-20.76982117,-20.06988525,-14.39282799,-14.36389923,5.894169807,10.218297,9.787931442,17.42399788,6.280245781,9.109065056,10.40284824,15.38716412,51.12763214,51.63956451,58.51189423,58.50572586,-11.37162209,-11.35588837,-18.73459816,-18.22591972,5.716316223,7.378709793,0
21.00007183,0.172556,40.46327972,36.39742279,36.05876541,31.34115601,31.23784637,-9.486185074,-9.339599609,-4.6443367,-4.277441025,1.692136049,4.18999815,2.04122901,3.598861933,1.698732972,1.776353002,1.870354056,2.817939997,32.00547028,32.0851593,37.38229752,37.31733322,-3.332349062,-3.278249741,-8.720872879,-8.612223625,5.056263924,5.442623138,1
0.915255872,0.078516,30.44874191,30.4005661,29.89436531,25.50630188,25.27157593,-5.052481174,-4.857780457,-0.452753216,0.060541153,0.441448987,0.857887983,3.769006014,7.069529057,0.567475021,0.585987985,4.433606148,5.928376198,26.14108276,26.26618576,30.6073246,30.85417748,0.482209355,0.216815948,-4.195979118,-4.069512367,4.894265175,4.412795067,0
4.125795357,0,51.73796844,55.76994705,55.51300812,47.8724823,47.99641037,-3.278348207,-3.393974304,3.99109149,4.303665161,0.575816989,1.250691056,2.913932085,10.05438423,0.345946997,0.725673974,1.265593052,8.180895805,48.94975281,48.81134415,56.90822601,56.99895859,5.555757046,5.517148972,-2.291383743,-2.428053617,7.89746666,7.808532715,0
35.09092178,0.668979,58.76033401,50.07403564,51.93540192,51.62727356,51.99885559,-5.384013653,-5.72228241,-5.419867516,-7.263465881,2.103239059,2.476100922,2.565614939,3.201010942,2.181896925,2.236490011,2.711709976,2.825022936,57.90846252,57.54239273,62.3910675,62.61700058,5.157447338,4.959978104,0.60546875,0.116606236,-1.553236008,4.354509354,0
0.932498432,0.079619,39.85507584,34.50183105,34.27219009,29.133255,28.83287239,-11.01733971,-10.73838806,-5.712656498,-5.493310928,0.054928001,0.153495997,4.01592207,7.078499794,0.050891001,0.063414,3.301383972,4.974898815,29.62142181,29.91809845,34.37754059,34.45140457,-5.492033482,-5.595788956,-10.23149586,-9.947624207,5.368577003,4.635706902,0
2.232951696,0.128407,48.98163986,49.82526398,49.28866577,41.87230682,41.51300049,-7.734326839,-7.378450394,0.252649754,0.815958023,0.824285984,1.856371999,2.942193985,7.447578907,0.570079029,0.676205993,1.731930971,6.76137495,43.40487671,43.34738159,50.43678284,50.83979034,1.80092752,1.435432434,-5.879447937,-5.893979073,7.952960968,7.314880371,0
2.980507583,0,42.36690521,40.64859009,40.05869675,39.80661774,39.42809677,-2.662462711,-2.302406311,-1.980250359,-1.395088196,0.342739999,0.65536797,4.224589825,11.06024456,0.243103996,0.343219996,3.434163094,5.856404781,40.9369278,40.52359009,42.59840012,42.79953003,0.716977417,0.545639038,-1.097547531,-1.54895401,0.841972351,1.643186569,1
11.46613987,0.060993,53.48543167,53.5894165,53.11203384,48.16649628,48.10077286,-5.185693741,-5.116516113,-0.028173629,0.449874878,0.524686992,1.278342962,1.453335047,3.282015085,0.379382998,0.653317988,1.081552029,2.41290307,48.73125458,48.71040726,54.22663116,54.53033829,1.375916839,1.091188431,-4.525970459,-4.573289394,5.422922134,5.61715889,1
20.41292875,0.666165,50.62108231,57.62489319,57.25248337,55.48000336,55.51881027,4.660495758,4.651857376,6.54564333,6.908830643,0.553375006,0.992304981,0.787468016,1.320979953,0.45401299,0.480046988,0.613879979,0.728525996,57.76754761,57.59036636,59.50028992,59.6066246,8.879990578,8.778928757,6.897729874,6.725148678,2.144891739,1.881198883,1
19.23696195,0,46.15763855,45.57316589,45.0644989,36.62968826,36.26537704,-10.21308136,-9.814733505,-1.254514456,-0.74969101,1.021249056,2.414175987,3.270833015,9.752242088,0.71528101,0.898591995,1.915366054,8.583266258,37.58236694,38.05361557,45.73995972,46.31308365,-0.023095766,-0.603631973,-8.96919632,-8.483026505,8.943479538,8.365564346,1
28.24558352,0.361465,65.65290833,60.18179703,61.5491066,59.91366577,60.37556839,-4.690124512,-5.180412292,-3.563933373,-4.858703613,2.234170914,2.835474968,2.706552029,3.655284882,2.296477079,2.36423707,2.737624884,3.248795986,66.8901825,64.58829498,69.57852173,69.80445862,4.545850277,4.297637939,1.727535248,-0.57264024,0.268129349,2.570102692,0
12.83161356,0.055951,49.05235291,49.57311249,49.03852463,41.22805405,40.91807175,-8.007943153,-7.710451126,0.311088115,0.763805389,0.831583023,1.84433198,3.128968,8.402602196,0.577287972,0.749736011,1.892745972,7.552746773,42.69675064,42.70895767,50.20798111,50.60287476,1.854873061,1.398353577,-6.292675018,-6.232081413,8.345056534,7.691028595,1
